Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2026,12/27/2013,11/29/2018,Partizanų g. 134,Dainava,Iškaba: „IKI  8-22  Mes mylim maistą  Info plakatai  Lipdukai ant langų “,70-13-1648,46.39,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2027,12/27/2013,12/1/2018,Baltų pr. 81,Smėliai,Iškaba: „IKI  8-22  Mes mylim maistą  Info plakatai  Lipdukai ant langų “,70-13-1712,85.13,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-404,2/3/2014,2/2/2019,Prie Raudondvario pl. 166,Veršvai,Komercinė nuoroda: „IKI  8-22  “,70-13-97,6.4,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-939,3/21/2014,2/6/2019,Raudondvario pl. 166,Veršvai,Iškaba: „IKI (5 vnt.)  8-22  Mes mylim maistą  Info plakatai  Lipdukai ant langų “,70-13-562,"92,59",
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-940,3/21/2014,1/27/2019,Veiverių g. 150A,Kazliškiai,Iškaba: „IKI (2 vnt.)  8-22  Mes mylim maistą  Info plakatai  Lipdukai ant langų “,70-13-424,"40,8",
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-942,3/21/2014,2/6/2019,Kovo 11-osios g. 22,Gričiupis,Iškaba: „IKI  8-22  Mes mylim maistą  Lipdukai ant langų  Info plakatai  “,70-13-563,25.273,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-943,3/21/2014,1/28/2019,Jonavos g. 3,Senamiestis,Iškaba: „IKI  8-22  Mes mylim maistą  Lipdukai ant langų  Info plakatai  “,70-13-504,"24,22",
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2870,10/31/2014,12/5/2018,Didžioji g. 98,Vaišvydava,Iškaba: „IKI (80 kv.m)  “,70-13-2385,80,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2872,10/31/2014,12/13/2018,Baltų pr. 81,Smėliai,Iškaba: „IKI  IKI  Prekybos centras 8-22  “,70-13-2386,6.2,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2961,11/14/2014,10/30/2019,V. Krėvės pr. 97,Dainava,Iškaba: „IKI 7.30-22.00“,70-13-2742,10.32,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2982,11/22/2014,11/6/2019,Savanorių pr. 111,Žaliakalnis,Iškaba: „IKI  I-VII 8-22  Mes mylim maistą  IKI  Lipdukai ant langų  Info plakatai  “,70-13-2776,86.23,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-3251,12/23/2014,11/30/2019,Kleboniškio g. 27B,Kleboniškis,Iškaba: „IKI  EXPRESS I-VII 8-22  Mes mylim maistą  IKI  Lipdukai ant durų“,70-13-2847,20.27,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-279,2/13/2015,1/20/2020,Ateities pl. 4A,Amaliai,Iškaba: „IKI (6 vnt)  8-22  “,70-13-130,93.2,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2228,11/16/2015,8/25/2020,Partizanų g. 44A,Dainava,Iškaba: „IKI  Reklaminiai plakatai (4 vnt.)“,70-13-898,7,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-931,4/13/2016,3/30/2021,Jotvingių g. 15,Milikoniai,Iškaba: „IKI  Prekybos centras  8-22  IKI Akcijiniai tentai“,70-13-362,66.62,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1416,6/10/2016,5/18/2021,Didžioji g. 98,Vaišvydava,Iškaba: „Akcijų tentas“,70-13-634,18,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1705,8/1/2016,8/20/2020,Partizanų g. 44A,Dainava,Iškaba: „IKI“,70-13-898,13,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1722,8/2/2016,7/18/2021,Baltų pr. 81,Smėliai,Iškaba: „Akcijų tentas“,70-13-631,18,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1497,7/12/2017,7/12/2018,Varnių g. 38A,Vaišvydava,Iškaba: „Akcijų tentas“,70-13-758,8,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1550,7/4/2017,7/3/2018,Prie Ateities pl. 4A,Amaliai,Komercinė nuoroda: „IKI 8-22“,70-13-129,19.2,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1829,9/20/2017,9/19/2018,Medvėgalio g. 23A,Aukštieji Šančiai,Iškaba: „IKI  I-VII 8-22  Mes mylim maistą  IKI  Lipdukai ant durų“,70-13-2869,21.05,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, Vilnius",29-24-1906,9/12/2017,9/11/2018,Lukšio g. 60,Eiguliai,Iškaba: „IKI “,70-13-1277,103.72,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, Vilnius",29-24-2267,11/14/2017,11/13/2018,Kovo 11-osios g. 67,Dainava,Iškaba: „IKI  Prekybos centras  8-22  “,70-13-1416,28.93,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, Vilnius",29-24-2268,11/13/2017,11/12/2018,Žemaičių pl. 23,Smėliai,Iškaba: „IKI  8-22  Mes mylim maistą  Lipdukai ant durų“,70-13-1417,56.96,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2480,12/5/2017,12/5/2018,Laisvės al. 53,Smėliai,Iškaba: „IKI express  8-22  Mes mylim maistą  Lipdukai ant langų ir durų“,70-13-1556,3.96,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2614,1/15/2018,1/14/2019,Kuršių g. 44,Milikoniai,Iškaba: „IKI  reklama“,70-13-1633,43.547,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2615,1/15/2018,1/14/2019,Kuršių g. 44,Milikoniai,Iškaba: „Camelia vaistinė“,70-13-1634,3.96,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-2616,1/16/2018,1/15/2019,Sukilėlių pr. 84,Eiguliai,Iškaba: „IKI “,70-13-1446,36.51,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-20,1/4/2018,1/4/2019,Kuršių g. 44,Milikoniai,Iškaba: „IKI  Keičiama reklama (tentas)“,70-13-1665,8,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-21,1/4/2018,1/4/2019,Partizanų g. 134,Milikoniai,Iškaba: „IKI  Keičiama reklama (tentas)“,70-13-1687,8,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-22,1/4/2018,1/4/2019,Tvirtovės al. 12A,Milikoniai,Iškaba: „IKI  Keičiama reklama (tentas)“,70-13-1688,8,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-341,3/20/2018,3/28/2019,Vilniaus g. 56,Senamiestis,Iškaba: „IKI   EXPRESS  PREKYBOS CENTRAS  Darbo laikas“,70-13-131,0.98,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-591,4/18/2018,4/17/2019,Baltijos g. 59,Smėliai,Iškaba: „IKI  8-22  Mes mylim maistą  Info plakatai  Lipdukai ant langų “,70-13-236,17.92,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-613,4/12/2018,4/11/2019,Varnių g. 38A,Eiguliai,Iškaba: „IKI (4 vnt.)  Prekybos centras  7.30-22.00  Mes mylim maistą  Grafika ant langų  “,70-13-233,138.22,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-730,5/23/2018,5/23/2019,Laisvės al. 90,Senamiestis,Iškaba: „IKI  Express  8-22  IKI  Express   Mes mylim maistą “,70-13-1990,"1,7",
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-731,5/7/2018,5/6/2019,Šiaurės pr. 91,Eiguliai,Iškaba: „IKI Prekybos centras“,70-13-301,58.4,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, Vilnius",29-24-1591,9/12/2018,9/11/2019,Lukšio g. 60,Eiguliai,Iškaba: „IKI “,70-13-1277,103.72,
Lietuvos ir Prancūzijos uždaroji akcinė bendrovė „ELITE MEDICALE“,110303993,"Savanorių pr. 169, Kaunas",29-24-1031,5/11/2015,4/23/2020,Savanorių pr. 169,Kalniečiai,Iškaba: „Elite medicale  Kardiologijos klinika“,70-13-464,3.26,
Uždaroji akcinė bendrovė „OMNITEL“,110305282,"Vytenio g. 18, Vilnius",29-24-2689,10/6/2014,10/5/2019,Savanorių pr. 255,Kalniečiai,Iškaba: „Omnitel  Logotipas“,70-13-2433,3.6,
Uždaroji akcinė bendrovė „OMNITEL“,110305282,"T. Ševčenkos g. 25, Vilnius",29-24-2829,10/24/2014,8/18/2018,Savanorių pr. 346,Kalniečiai,Iškaba: „Omnitel  Logotipas“,70-13-2593,3.65,
Uždaroji akcinė bendrovė „OMNITEL“,110305282,"T. Ševčenkos g. 25, Vilnius",29-24-85,1/17/2017,8/19/2018,Savanorių pr. 346,Kalniečiai,Iškaba: „Telia Logotipas“,70-13-1465,5.03,
Lietuvos ir JAV uždaroji akcinė bendrovė „REGĖJIMAS“,110324592,"Gedimino g. 47, Kaunas",29-24-1484,7/16/2018,8/19/2018,Savanorių pr. 346,Naujasodis,Iškaba: „EAGLE VISION “,70-13-811,8.96,
AB „Atrama“,110338193,"Raudondvario pl. 162, Kaunas",29-24-3131,12/3/2014,12/2/2019,Raudondvario pl. 162,Veršvai,Iškaba: „Atrama“,70-13-2781,1.85,
Uždaroji akcinė bendrovė „VOLLIT“,110359369,"Dvaro g. 55-15, Šiauliai",29-24-2855,10/29/2014,10/19/2019,A. Mickevičiaus g. 17,Naujamiestis,Iškaba: „Ginklai  Vollit  Darbo laikas“,70-13-2699,"3,65",
